completed_date,cycle_time,blocked_days,key,url,issue_type,summary,status,resolution,Backlog,Committed,Elaboration,Build,QA,Done
2019-11-13,21.0,0,FAB-24101,https://immediateco.atlassian.net/browse/FAB-24101,Bug,"AMP List ""See More"" CTA have the wrong CTA colour",Complete,Done,2019-10-23,2019-10-23,2019-10-23,2019-11-08,2019-11-08,2019-11-13
2019-10-25,2.0,0,FAB-24100,https://immediateco.atlassian.net/browse/FAB-24100,Bug (subtask),(iOS) Doesn't autofocus to keyboard when search icon is clicked,Closed,Done,,,,2019-10-23,2019-10-24,2019-10-25
2019-10-25,2.0,0,FAB-24099,https://immediateco.atlassian.net/browse/FAB-24099,Bug (subtask),Search icon isn't changing back to green when closed,Ready For Release,Done,,,,2019-10-23,2019-10-23,2019-10-25
2019-11-28,8.0,0,FAB-24097,https://immediateco.atlassian.net/browse/FAB-24097,Sub-Task,Consent forms,Complete,Done,,,,2019-11-20,2019-11-20,2019-11-28
2019-11-19,20.0,0,FAB-24096,https://immediateco.atlassian.net/browse/FAB-24096,Sub-Task,Feedback capturing form / mechanism,Complete,Done,,,,2019-10-30,2019-11-07,2019-11-19
2019-11-19,20.0,0,FAB-24095,https://immediateco.atlassian.net/browse/FAB-24095,Sub-Task,Script,Complete,Done,,,,2019-10-30,2019-11-06,2019-11-19
2019-11-28,28.0,0,FAB-24092,https://immediateco.atlassian.net/browse/FAB-24092,Sub-Task,Update prototype with visuals,Complete,Done,,,,2019-10-31,2019-11-20,2019-11-28
2019-11-28,36.0,0,FAB-24091,https://immediateco.atlassian.net/browse/FAB-24091,Discovery Story,BBC Good Food Show : Prototype,Complete,Done,,,2019-10-23,2019-10-23,2019-11-21,2019-11-28
2019-11-21,29.0,0,FAB-24090,https://immediateco.atlassian.net/browse/FAB-24090,Sub-Task,Branded clothing / lanyards etc,Complete,Done,,,2019-10-23,,,2019-11-21
2019-11-28,36.0,0,FAB-24088,https://immediateco.atlassian.net/browse/FAB-24088,Sub-Task,Upload prototype onto devices ,Complete,Done,,,,,2019-10-23,2019-11-28
2019-11-05,13.0,0,FAB-24084,https://immediateco.atlassian.net/browse/FAB-24084,Sub-Task,Contact event organisers (Sophie),Closed,Done,,,2019-10-23,,,2019-11-05
2019-11-20,28.0,0,FAB-24083,https://immediateco.atlassian.net/browse/FAB-24083,Sub-Task,Transport & Accommodation(?),Complete,Done,,,,,2019-10-23,2019-11-20
2019-11-14,22.0,0,FAB-24076,https://immediateco.atlassian.net/browse/FAB-24076,Spike,Establish the components of the image handler service for the UGR API,Complete,Done,2019-10-23,2019-10-23,2019-10-23,2019-10-23,2019-11-14,2019-11-14
2019-10-30,8.0,0,FAB-24071,https://immediateco.atlassian.net/browse/FAB-24071,Design Story,Review Glossary navigation design,Complete,Done,2019-10-22,2019-10-22,2019-10-22,2019-10-23,2019-10-23,2019-10-30
2019-10-28,6.0,0,FAB-24070,https://immediateco.atlassian.net/browse/FAB-24070,Spike,Investigate content API with a view to including Lists,Complete,Done,2019-10-22,2019-10-22,2019-10-22,2019-10-24,2019-10-28,2019-10-28
2019-11-12,18.0,0,FAB-24045,https://immediateco.atlassian.net/browse/FAB-24045,Sub-Task,Brightcove videos in content block for recipes frontend,Ready For Release,Done,,,,2019-10-25,2019-11-06,2019-11-12
2019-11-12,22.0,0,FAB-24044,https://immediateco.atlassian.net/browse/FAB-24044,Sub-Task,Send embed Brightcove in step-by-step recipe to the Content API,Ready For Release,Done,,,,2019-10-21,2019-10-21,2019-11-12
