ID,Link,Name,Backlog,Committed,Elaboration,Build,QA,Done,Type,Status,Resolution,Blocked Days
FAB-20535,https://immediateco.atlassian.net/browse/FAB-20535,Components : Button,2019-05-31,2019-05-31,2019-06-11,2019-06-17,2019-06-17,2019-06-24,Story,Complete,Done,0
FAB-20534,https://immediateco.atlassian.net/browse/FAB-20534,Components : Advert component,2019-05-31,2019-06-05,2019-06-05,2019-07-19,2019-07-19,2019-07-25,Story,Complete,Done,0
FAB-20483,https://immediateco.atlassian.net/browse/FAB-20483,Migrating from old related content widget,2019-04-29,2019-04-29,2019-04-29,,,,Story,Ready For Development,,0
FAB-20413,https://immediateco.atlassian.net/browse/FAB-20413,Simplified codepipeline for api services,2019-04-25,2019-06-13,2019-06-13,,,2019-06-26,Story,Closed,Done,0
FAB-20368,https://immediateco.atlassian.net/browse/FAB-20368,Content-api: you cannot delete values of non-mandatory fields for the Author and Recipe objects,2019-05-17,2019-05-17,2019-05-20,2019-05-28,2019-05-29,2019-05-30,Bug (subtask),Complete,Done,0
FAB-20346,https://immediateco.atlassian.net/browse/FAB-20346,DESIGN: Good food Mega Menu,2019-04-23,,,,,2019-09-09,Discovery Design Story,Closed,Done,0
FAB-20327,https://immediateco.atlassian.net/browse/FAB-20327,Create Survey for My Good Food,2019-04-18,,2019-04-18,2019-04-23,2019-04-25,2019-05-02,Discovery Research,Closed,Done,0
FAB-20267,https://immediateco.atlassian.net/browse/FAB-20267,FE Headless Cards,,2019-11-04,2019-11-04,2019-11-04,,2019-11-04,Epic,Closed,Done,0
FAB-20258,https://immediateco.atlassian.net/browse/FAB-20258,Components : Swap GF icons,2019-04-16,2019-04-16,2019-04-16,2019-06-07,2019-06-07,2019-06-11,Story,Complete,Done,0
FAB-20242,https://immediateco.atlassian.net/browse/FAB-20242,Remove unused code for landscape and portrait thumbnail fields,2019-04-16,2019-04-16,2019-04-16,,,2019-09-25,Technical Debt,Closed,Done,0
FAB-20233,https://immediateco.atlassian.net/browse/FAB-20233,Can't Crop Square Thumbnail (Image Handler Off),2019-04-15,2019-04-15,,,,2019-09-25,Bug,Closed,Done,0
FAB-20215,https://immediateco.atlassian.net/browse/FAB-20215,Components : Setup AWS Pipeline to Post CI reports as PR comments,2019-04-14,2019-04-14,2019-07-22,2019-07-22,2019-07-22,2019-07-22,Story,Complete,Done,0
FAB-20198,https://immediateco.atlassian.net/browse/FAB-20198,SPIKE: Pattern for exposing widgets via APIs,2019-04-12,,,,,,Spike,Define Task,,0
FAB-20184,https://immediateco.atlassian.net/browse/FAB-20184,"Recipes : define layouts for editorial, user, native and sponsored recipes ",,,2019-08-01,2019-08-05,2019-08-12,2019-08-22,Discovery Story,Complete,Done,0
FAB-20135,https://immediateco.atlassian.net/browse/FAB-20135,Expose content by site & slug | ID,2019-04-11,2019-04-11,2019-04-30,2019-05-16,2019-05-16,2019-05-24,Story,Complete,Done,0
FAB-20110,https://immediateco.atlassian.net/browse/FAB-20110,Fabric : Figure out what Wordpress does for us,2019-04-11,2019-04-11,2019-04-11,,,2019-08-20,Spike,Closed,Done,0
FAB-20108,https://immediateco.atlassian.net/browse/FAB-20108,Discovery & Scope: MyGoodFood,2019-04-18,,2019-06-03,,,2019-06-14,Discovery Story,Closed,Done,0
FAB-20007,https://immediateco.atlassian.net/browse/FAB-20007,Apps & Skills | Build legacy API,2019-04-04,,2019-11-22,,,,Epic,Ready For Development,,0
FAB-20003,https://immediateco.atlassian.net/browse/FAB-20003,Components : Highlight top tip - Fabric,2019-05-31,2019-06-28,2019-07-04,2019-07-04,2019-07-04,2019-07-04,Story,Complete,Done,0
FAB-19913,https://immediateco.atlassian.net/browse/FAB-19913,A/B TEST - Which wording for the save button garners more clicks,,,2019-04-18,2019-05-02,2019-05-29,2019-11-12,Discovery Experiment,Complete,Done,0
FAB-19910,https://immediateco.atlassian.net/browse/FAB-19910,DESIGN: Good Food footer,2019-07-15,,2019-07-15,2019-08-05,2019-08-07,2019-08-09,Discovery Design Story,Complete,Done,0
